Opening,Opening.1,Title,Production company,Cast and crew,.mw-parser-output .tooltip-dotted{border-bottom:1px dotted;cursor:help}Ref.,Ref.
S E P T E M B E R,17.0,Cry Macho,Warner Bros. Pictures / Malpaso Productions / HBO Max,"Clint Eastwood (director); Nick Schenk, N. Richard Nash (screenplay); Clint Eastwood, Dwight Yoakam, Eduardo Minett",,[186]
S E P T E M B E R,17.0,Copshop,Open Road Films,"Joe Carnahan (director/screenplay); Kurt McLeod (screenplay); Gerard Butler, Frank Grillo, Alexis Louder, Toby Huss",,[187]
S E P T E M B E R,17.0,Blue Bayou,Focus Features / Entertainment One,"Justin Chon (director/screenplay); Justin Chon, Alicia Vikander, Mark O'Brien, Linh Dan Pham, Sydney Kowalske, Vondie Curtis-Hall, Emory Cohen",,
S E P T E M B E R,17.0,Prisoners of the Ghostland,RLJE Films,"Sion Sono (director); Aaron Hendry, Reza Sixo Safai (screenplay); Nicolas Cage, Sofia Boutella, Bill Moseley, Nick Cassavetes, Tak Sakaguchi, Ed Skrein",,[188]
S E P T E M B E R,17.0,Best Sellers,Screen Media Films,"Lina Roessler (director); Anthony Grieco (screenplay); Michael Caine, Aubrey Plaza, Scott Speedman, Ellen Wong, Veronica Ferres, Cary Elwes",,[189]
S E P T E M B E R,17.0,Lady of the Manor,Lionsgate,"Justin Long, Christian Long (directors/screenplay); Melanie Lynskey, Judy Greer, Justin Long, Ryan Phillippe, Luis Guzmán",,[190]
S E P T E M B E R,17.0,The Nowhere Inn,IFC Films / Topic Studios,"Bill Benz (director); Annie Clark, Carrie Brownstein (screenplay); Annie Clark, Carrie Brownstein, Dakota Johnson",,[191]
S E P T E M B E R,17.0,My Name is Pauli Murray,Amazon Studios / Participant,"Betsy West, Julie Cohen (director); Talleah Bridges McMahon, Julie Cohen, Betsy West, Cinque Northern (screenplay)",,[192]
S E P T E M B E R,17.0,The Killing of Kenneth Chamberlain,Gravitas Ventures,"David Midell (director/screenplay); Frankie Faison, Steve O'Connell, Enrico Natale, Ben Marten, LaRoyce Hawkins, Anika Noni Rose",,[193]
S E P T E M B E R,22.0,Intrusion,Netflix,"Adam Salky (director); Chris Sparling (screenplay); Freida Pinto, Logan Marshall-Green, Robert John Burke",,[194]
S E P T E M B E R,24.0,My Little Pony: A New Generation,Netflix / Entertainment One / Boulder Media,"Robert Cullen, Jose Ucha (directors); Gillian Berrow, Tim Sullivan (screenplay); Vanessa Hudgens, Kimiko Glenn, James Marsden, Sofia Carson, Liza Koshy, Ken Jeong, Elizabeth Perkins, Jane Krakowski, Michael McKean, Phil LaMarr",,[195]
S E P T E M B E R,24.0,Dear Evan Hansen,Universal Pictures / Perfect World Pictures,"Stephen Chbosky (director); Steven Levenson (screenplay); Ben Platt, Kaitlyn Dever, Amandla Stenberg, Nik Dodani, Colton Ryan, Danny Pino, Julianne Moore, Amy Adams",,[196]
S E P T E M B E R,24.0,The Guilty,Netflix / Bold Films / Nine Stories Productions,"Antoine Fuqua (director); Nic Pizzolatto (screenplay); Jake Gyllenhaal, Ethan Hawke, Riley Keough, Christina Vidal, Eli Goree, Da'Vine Joy Randolph, Paul Dano, Peter Sarsgaard",,[167]
S E P T E M B E R,24.0,Birds of Paradise,Amazon Studios,"Sarah Adina Smith (director/screenplay); Kristine Froseth, Diana Silvers, Jacqueline Bisset, Stav Strashko",,[197]
S E P T E M B E R,30.0,After We Fell,Voltage Pictures,"Castille Landon (director); Sharon Soboil (screenplay); Josephine Langford, Hero Fiennes Tiffin, Louise Lombard, Rob Estes, Arielle Kebbel, Chance Perdomo, Frances Turner, Kiana Madeira, Carter Jenkins, Stephen Moyer, Mira Sorvino",,[198]
O C T O B E R,1.0,Venom: Let There Be Carnage,Columbia Pictures / Marvel Entertainment / Tencent Pictures,"Andy Serkis (director), Kelly Marcel (screenplay); Tom Hardy, Michelle Williams, Naomie Harris, Reid Scott, Stephen Graham, Woody Harrelson",,[199]
O C T O B E R,1.0,The Many Saints of Newark,Warner Bros. Pictures / New Line Cinema / HBO Films / HBO Max,"Alan Taylor (director); David Chase, Lawrence Konner (screenplay); Alessandro Nivola, Michael Gandolfini, Leslie Odom Jr., Jon Bernthal, Corey Stoll, Billy Magnussen, Michela De Rossi, John Magaro, Ray Liotta, Vera Farmiga",,[186]
O C T O B E R,1.0,The Addams Family 2,Metro-Goldwyn-Mayer / Bron Creative,"Conrad Vernon, Greg Tiernan (directors); Dan Hernandez, Benji Samit, Ben Queen, Susanna Fogel (screenplay); Oscar Isaac, Charlize Theron, Chloë Grace Moretz, Nick Kroll, Javon Walton, Wallace Shawn, Snoop Dogg, Bette Midler, Bill Hader",,[200]
O C T O B E R,1.0,Bingo Hell,Amazon Studios / Blumhouse Television,"Gigi Saul Guerrero (director/screenplay); Shane McKenzie, Perry Blackshear (screenplay); L. Scott Caldwell, Adriana Barraza, Joshua Caleb Johnson",,[201]
O C T O B E R,1.0,Black as Night,Amazon Studios / Blumhouse Television,"Maritte Lee Go (director); Sherman Payne (screenplay); Ashja Cooper, Theodus Crane, Kenneisha Thompson, Al Mitchell",,[201]
O C T O B E R,1.0,Old Henry,Shout! Studios,"Potsy Ponciroli (director/screenplay); Tim Blake Nelson, Scott Haze, Gavin Lewis, Trace Adkins, Stephen Dorff",,[202]
O C T O B E R,1.0,The Jesus Music,Lionsgate,"Erwin brothers (director); Jon Erwin (screenplay); Amy Grant, Michael W. Smith, TobyMac, Kirk Franklin, Lauren Daigle",,[203]
O C T O B E R,1.0,Mayday,Magnolia Pictures,"Karen Cinorre (director/screenplay); Grace Van Patten, Mia Goth, Havana Rose Liu, Soko, Juliette Lewis",,[204]
O C T O B E R,4.0,God's Not Dead: We the People,Pinnacle Peak Pictures,"Vance Null (director); Tommy Blaze (screenplay); David A. R. White, Antonio Sabàto Jr., Francesca Battistelli, William Forsythe, Isaiah Washington, Jeanine Pirro",,[205]
O C T O B E R,6.0,There's Someone Inside Your House,Netflix / 21 Laps Entertainment,"Patrick Brice (director); Henry Gayden (screenplay); Sydney Park, Theodore Pellerin, Asjha Cooper, Jesse LaTourette, Diego Josef",,[167]
O C T O B E R,8.0,No Time to Die,Metro-Goldwyn-Mayer / Eon Productions,"Cary Joji Fukunaga (director/screenplay); Neal Purvis and Robert Wade, Phoebe Waller-Bridge (screenplay); Daniel Craig, Rami Malek, Léa Seydoux, Lashana Lynch, Ben Whishaw, Naomie Harris, Billy Magnussen, Ana de Armas, David Dencik, Jeffrey Wright, Christoph Waltz, Ralph Fiennes",,[206]
O C T O B E R,8.0,Mass,Bleecker Street,"Fran Kranz (director/screenplay); Reed Birney, Ann Dowd, Jason Isaacs, Martha Plimpton",,[207]
O C T O B E R,8.0,South of Heaven,RLJE Films,"Aharon Keshales (director/screenplay); Navot Papushado, Kai Mark (screenplay); Jason Sudeikis, Evangeline Lilly, Shea Whigham, Mike Colter",,[208]
O C T O B E R,8.0,The Manor,Amazon Studios / Blumhouse Television,"Axelle Carolyn (director/screenwriter); Barbara Hershey, Bruce Davison, Stacey Travis, Ciera Payton, Jill Larson, Mark Steger",,[201]
O C T O B E R,8.0,Madres,Amazon Studios / Blumhouse Television,"Ryan Zaragoza (director); Marcella Ochoa, Mario Miscione (screenplay); Elpidia Carrillo, Tenoch Huerta",,[201]
O C T O B E R,8.0,Justin Bieber: Our World,Amazon Studios,"Michael D. Ratner (director); Justin Bieber, Hailey Bieber",,[209]
O C T O B E R,8.0,Survive the Game,Lionsgate Films,"James Cullen Bressack (director); Ross Peacock (screenplay); Chad Michael Murray, Bruce Willis",,[210]
O C T O B E R,15.0,Halloween Kills,Universal Pictures / Miramax / Blumhouse Productions / Peacock,"David Gordon Green (director/screenplay); Danny McBride, Scott Teems (screenplay); Jamie Lee Curtis, Judy Greer, Andi Matichak, Will Patton, Thomas Mann, Anthony Michael Hall",,[211]
O C T O B E R,15.0,The Last Duel,20th Century Studios / Scott Free Productions / Pearl Street Films,"Ridley Scott (director); Nicole Holofcener, Ben Affleck, Matt Damon (screenplay); Matt Damon, Adam Driver, Jodie Comer, Ben Affleck",,[212]
O C T O B E R,15.0,Needle in a Timestack,Lionsgate / Bron Studios,"John Ridley (director/screenplay); Leslie Odom Jr., Freida Pinto, Cynthia Erivo, Orlando Bloom",,[213]
