Opening,Opening.1,Title,Production company,Cast and crew,.mw-parser-output .tooltip-dotted{border-bottom:1px dotted;cursor:help}Ref.,Ref.
J U N E,9.0,Awake,Netflix / Entertainment One,"Mark Raso (director/screenplay); Joseph Raso (screenplay); Gina Rodriguez, Jennifer Jason Leigh, Barry Pepper, Finn Jones, Gil Bellows",,
J U N E,10.0,In the Heights,Warner Bros. Pictures / Likely Story / Endeavor Content / HBO Max,"Jon M. Chu (director); Quiara Alegría Hudes (screenplay); Anthony Ramos, Corey Hawkins, Leslie Grace, Melissa Barrera, Olga Merediz, Daphne Rubin-Vega, Gregory Diaz IV, Stephanie Beatriz, Dascha Polanco, Jimmy Smits, Lin-Manuel Miranda",,[95]
J U N E,10.0,Infinite,Paramount+ / Paramount Pictures,"Antoine Fuqua (director); Ian Shorr (screenplay); Mark Wahlberg, Chiwetel Ejiofor, Sophie Cookson, Jason Mantzoukas, Rupert Friend, Toby Jones, Dylan O'Brien",,[96]
J U N E,11.0,Peter Rabbit 2: The Runaway,Columbia Pictures / MRC / Animal Logic,"Will Gluck (director/screenplay); Patrick Burleigh (screenplay); James Corden, Rose Byrne, Domhnall Gleeson, Margot Robbie, Elizabeth Debicki, Lennie James, David Oyelowo",,[97]
J U N E,11.0,Wish Dragon,Netflix / Columbia Pictures / Sony Pictures Animation / Tencent Pictures,"Chris Appelhans (director/screenplay); Jimmy Wong, John Cho, Constance Wu, Natasha Liu Bordizzo, Jimmy O. Yang, Aaron Yoo, Will Yun Lee, Bobby Lee, Nico Santos, Ronny Chieng",,
J U N E,11.0,The Misfits,The Avenue Entertainment,"Renny Harlin (director); Robert Henny, Kurt Wimmer (screenplay); Pierce Brosnan, Rami Jaber, Hermione Corfield, Jamie Chung, Mike d Angelo, Tim Roth, Nick Cannon",,[98]
J U N E,11.0,12 Mighty Orphans,Sony Pictures Classics,"Ty Roberts (director/screenplay); Lane Garrison, Kevin Meyer (screenplay); Luke Wilson, Vinessa Shaw, Wayne Knight, Jake Austin Walker, Jacob Lofland, Levi Dylan, Robert Duvall, Martin Sheen",,
J U N E,11.0,The House Next Door: Meet the Blacks 2,Lionsgate,"Deon Taylor (director/screenplay); Corey Harrell (screenplay); Mike Epps, Katt Williams, Bresha Webb, Lil Duval, Zulay Henao, Tyrin Turner, Michael Blackson, Andrew Bachelor, Gary Owen, Danny Trejo",,
J U N E,11.0,Queen Bees,Gravitas Ventures,"Michael Lembeck (director); Donald Martin (screenplay); Ellen Burstyn, James Caan, Ann-Margret, Jane Curtin, Christopher Lloyd, Loretta Devine",,
J U N E,11.0,DOMINO: Battle of the Bones,Dow Jazz Films,"Baron Davis, Carl Reid, Steven V. Vasquez Jr. (directors); Baron Davis, Carl Reid, Pamela Azmi-Andrew (screenplay); David Arquette, Snoop Dogg, Tom Lister Jr., Carlito Olivero",,
J U N E,16.0,Hitman's Wife's Bodyguard,Lionsgate / Millennium Media,"Patrick Hughes (director); Tom O'Connor, Brandon Murphy, Phillip Murphy (screenplay); Ryan Reynolds, Samuel L. Jackson, Salma Hayek, Frank Grillo, Richard E. Grant, Antonio Banderas, Morgan Freeman",,[99]
J U N E,18.0,Luca,Disney+ / Walt Disney Pictures / Pixar Animation Studios,"Enrico Casarosa (director); Mike Jones, Jesse Andrews (screenplay); Jacob Tremblay, Jack Dylan Grazer, Emma Berman, Saverio Raimondo, Maya Rudolph, Marco Baricelli, Jim Gaffigan, Peter Sohn, Lorenzo Crisci, Marina Massironi, Sandy Martin",,[100]
J U N E,18.0,Fatherhood,Netflix / Columbia Pictures / Bron Creative,"Paul Weitz (director/screenplay); Dana Stevens (screenplay); Kevin Hart, Alfre Woodard, Lil Rel Howery, DeWanda Wise, Anthony Carrigan, Melody Hurd, Paul Reiser",,[101]
J U N E,18.0,The Birthday Cake,Screen Media Films,"Jimmy Giannopoulos (director/screenplay); Diomedes Raul Bermudez, Shiloh Fernandez (screenplay); Shiloh Fernandez, Val Kilmer, Ewan McGregor, Ashley Benson, Lorraine Bracco, David Mazouz",,
J U N E,18.0,Rita Moreno: Just a Girl Who Decided to Go for It,Roadside Attractions,"Mariem Pérez Riera (director/screenplay); Rita Moreno, Eva Longoria, George Chakiris, Gloria Estefan, Héctor Elizondo, Karen Olivo, Justina Machado, Lin-Manuel Miranda, Mitzi Gaynor, Morgan Freeman, Norman Lear, Terrence McNally, Whoopi Goldberg",,
J U N E,18.0,The Sparks Brothers,Focus Features / MRC,"Edgar Wright (director/screenplay); Ron Mael, Russell Mael",,
J U N E,18.0,Truman & Tennessee: An Intimate Conversation,Fischio Films / Peaceable Assembly,"Lisa Immordino Vreeland (director/screenplay); Jim Parsons, Zachary Quinto",,
J U N E,18.0,Stalker,Vertical Entertainment,"Tyler Savage (director/screenplay); Dash Hawkins (screenplay); Christine Ko, Vincent van Horn, Michael Joplin, Dusty Sorg, Carla Valentine, Scott Subiono",,
J U N E,18.0,Love Spreads,Dignity Film Finance / Film Shed,"Jamie Adams (director/screenplay); Alia Shawkat, Eiza González, Chanel Cresswell, Nick Helm, Dolly Wells, Tara Lee",,
J U N E,18.0,A Crime on the Bayou,Shout! Studios,"Nancy Buirski (director/screenplay); Gary Duncan, Richard Sobol",,
J U N E,23.0,Good on Paper,Netflix / Universal Pictures,"Kimmy Gatewood (director); Iliza Shlesinger (screenplay); Iliza Shlesinger, Ryan Hansen, Margaret Cho, Rebecca Rittenhouse",,[102]
J U N E,25.0,F9,Universal Pictures / Original Film / One Race Films / Roth/Kirschenbaum Films,"Justin Lin (director/screenplay); Daniel Casey (screenplay); Vin Diesel, John Cena, Michelle Rodriguez, Tyrese Gibson, Chris ""Ludacris"" Bridges, Jordana Brewster, Nathalie Emmanuel, Sung Kang, Michael Rooker, Helen Mirren, Kurt Russell, Charlize Theron",,[103]
J U N E,25.0,The Ice Road,Netflix,"Jonathan Hensleigh (director/screenplay); Liam Neeson, Benjamin Walker, Amber Midthunder, Marcus Thomas, Holt McCallany, Martin Sensmeier, Matt McCoy, Matt Salinger, Laurence Fishburne",,
J U N E,25.0,Werewolves Within,IFC Films / Ubisoft Film & Television,"Josh Ruben (director); Mishna Wolff (screenplay); Sam Richardson, Milana Vayntrub, George Basil, Sarah Burns, Michael Chernus, Catherine Curtin, Harvey Guillén, Cheyenne Jackson, Michaela Watkins, Glenn Fleshler",,[104]
J U N E,25.0,False Positive,A24 / Hulu,"John Lee (director/screenplay); Ilana Glazer (screenplay); Ilana Glazer, Justin Theroux, Sophia Bush, Josh Hamilton, Pierce Brosnan",,[105]
J U N E,25.0,Lansky,Vertical Entertainment,"Eytan Rockaway (director/screenplay); Harvey Keitel, Sam Worthington, AnnaSophia Robb, Minka Kelly, David James Elliott, John Magaro",,
J U N E,25.0,I Carry You with Me,Sony Pictures Classics / Stage 6 Films,"Heidi Ewing (director/screenplay); Alan Page Arriaga (screenplay); Armando Espitia, Christian Vázquez, Michelle Rodríguez, Ángeles Cruz, Arcelia Ramírez, Michelle González",,[106]
J U N E,25.0,Mary J. Blige's My Life,Amazon Studios,"Vanessa Roth (director/screenplay); Mary J. Blige, Taraji P. Henson, Alicia Keys, Sean Combs",,
J U N E,25.0,Fathom,Apple TV+,"Drew Xanthopoulos (director/screenplay); Michelle Fournet, Ellen Garland",,
J U N E,25.0,Rollers,Level 33 Entertainment,"Isaiah Smallman (director); Johnny Ray Gill, Kate Cobb, Vicky Jeudy, Kevin Bigley",,
J U N E,30.0,America: The Motion Picture,Netflix / Floyd County Productions,"Matt Thompson (director); Dave Callaham (screenplay); Channing Tatum, Jason Mantzoukas, Olivia Munn, Bobby Moynihan, Judy Greer, Will Forte, Raoul Trujillo, Killer Mike, Simon Pegg, Andy Samberg",,
J U N E,30.0,Zola,A24,"Janicza Bravo (director/screenplay); Jeremy O. Harris (screenplay); Taylour Paige, Riley Keough, Nicholas Braun, Ari'el Stachel, Colman Domingo",,[107]
J U L Y,1.0,No Sudden Move,HBO Max / Warner Bros. Pictures,"Steven Soderbergh (director); Ed Solomon (screenplay); Don Cheadle, Benicio del Toro, David Harbour, Jon Hamm, Amy Seimetz, Brendan Fraser, Kieran Culkin, Noah Jupe, Craig Grant, Julia Fox, Frankie Shaw, Ray Liotta, Bill Duke",,[108]
J U L Y,2.0,The Tomorrow War,Amazon Studios / Skydance Media / Paramount Pictures,"Chris McKay (director); Zach Dean (screenplay); Chris Pratt, Yvonne Strahovski, J. K. Simmons, Betty Gilpin, Sam Richardson, Edwin Hodge, Jasmine Mathews, Ryan Kiera Armstrong, Keith Powers",,[109]
J U L Y,2.0,The Boss Baby: Family Business,Universal Pictures / DreamWorks Animation / Peacock,"Tom McGrath (director); Michael McCullers (screenplay); Alec Baldwin, James Marsden, Amy Sedaris, Ariana Greenblatt, Jeff Goldblum, Eva Longoria, Jimmy Kimmel, Lisa Kudrow",,[110]
J U L Y,2.0,The Forever Purge,Universal Pictures / Platinum Dunes / Blumhouse Productions,"Everardo Gout (director); James DeMonaco (screenplay); Ana de la Reguera, Tenoch Huerta, Josh Lucas, Cassidy Freeman, Leven Rambin, Alejandro Edda, Will Patton",,[111]
J U L Y,2.0,Fear Street Part One: 1994,Netflix / Chernin Entertainment,"Leigh Janiak (director/screenplay); Phil Graziadei (screenplay); Kiana Madeira, Olivia Scott Welch, Benjamin Flores Jr., Julia Rehwald, Fred Hechinger, Ashley Zukerman, Darrell Britt-Gibson, Maya Hawke, Jordana Spiro, Jordyn DiNatale",,
J U L Y,2.0,Summer of Soul,Searchlight Pictures / Hulu,"Questlove (director); Stevie Wonder, Nina Simone, Sly and the Family Stone, Gladys Knight & the Pips, Mahalia Jackson, B.B. King, The 5th Dimension",,[112]
J U L Y,2.0,Till Death,Screen Media Films / Millennium Films,"S.K. Dale (director); Jason Carvey (screenplay); Megan Fox, Eoin Macken, Callan Mulvey, Jack Roth, Aml Ameen",,[113]
J U L Y,2.0,Let Us In,Samuel Goldwyn Films,"Craig Moss (director/screenplay); Joe Callero (screenplay); Mackenzie Moss, Sadie Stanley, Mackenzie Ziegler, Siena Agudong, Tobin Bell",,[114]
J U L Y,9.0,Black Widow,Marvel Studios / Disney+,"Cate Shortland (director); Eric Pearson (screenplay); Scarlett Johansson, Florence Pugh, David Harbour, O-T Fagbenle, Olga Kurylenko, William Hurt, Ray Winstone, Rachel Weisz",,[115]
J U L Y,9.0,Fear Street Part Two: 1978,Netflix / Chernin Entertainment,"Leigh Janiak (director/screenplay); Zak Olkewikz (screenplay); Sadie Sink, Emily Rudd, Ryan Simpkins, McCabe Slye, Ted Sutherland, Jordana Spiro, Gillian Jacobs, Kiana Madeira, Benjamin Flores Jr., Ashley Zukerman, Olivia Scott Welch, Jordyn DiNatale",,
J U L Y,9.0,Summertime,Good Deed Entertainment,"Carlos López Estrada (director); Dave Harris (screenplay); Tyris Winter, Marquesha Babers, Maia Mayor, Austin Antoine, Bryce Banks",,[116]
J U L Y,14.0,Gunpowder Milkshake,Netflix / StudioCanal / STXfilms / The Picture Company,"Navot Papushado (director/screenplay); Ehud Lavski (screenplay); Karen Gillan, Lena Headey, Carla Gugino, Chloe Coleman, Michelle Yeoh, Angela Bassett, Paul Giamatti",,[117]
J U L Y,16.0,Space Jam: A New Legacy,Warner Bros. Pictures / Warner Animation Group / HBO Max,"Malcolm D. Lee (director); Juel Taylor, Tony Rettenmaier, Keenan Coogler, Terence Nance, Jesse Gordon, Celeste Ballard (screenplay); LeBron James, Don Cheadle, Khris Davis, Sonequa Martin-Green, Cedric Joe, Jeff Bergman, Eric Bauza, Zendaya",,[118]
J U L Y,16.0,Escape Room: Tournament of Champions,Columbia Pictures / Original Film,"Adam Robitel (director); Will Honley, Maria Melnik, Daniel Tuch, Oren Uziel (screenplay); Taylor Russell, Logan Miller, Indya Moore, Holland Roden, Thomas Cocquerel, Carlito Olivero, Isabelle Fuhrman",,[119]
J U L Y,16.0,Fear Street Part Three: 1666,Netflix / Chernin Entertainment,"Leigh Janiak (director/screenplay); Phil Graziadei (screenplay); Kiana Madeira, Ashley Zukerman, Gillian Jacobs, Olivia Scott Welch, Benjamin Flores Jr., Darrell Britt-Gibson, Fred Hechinger, Julia Rehwald, Sadie Sink, Emily Rudd, McCabe Slye, Jordana Spiro, Jordyn DiNatale",,
J U L Y,16.0,Die in a Gunfight,Lionsgate,"Colin Schiffli (director); Andrew Barrer, Gabriel Ferrari (screenplay); Alexandra Daddario, Diego Boneta, Justin Chatwin, Wade Allain-Marcus, Billy Crudup, Emmanuelle Chriqui, Travis Fimmel",,
J U L Y,16.0,Pig,Neon / Endeavour Content,"Michael Sarnoski (director/screenplay); Nicolas Cage, Alex Wolff, Adam Arkin",,[120]
J U L Y,16.0,Out of Death,Vertical Entertainment,"Mike Burns (director); Bill Lawrence (screenplay); Bruce Willis, Jaime King, Lala Kent",,[121]
J U L Y,16.0,Roadrunner: A Film About Anthony Bourdain,Focus Features,Morgan Neville (director/screenplay); Caitrin Rogers (screenplay); Anthony Bourdain,,[122]
J U L Y,20.0,How It Ends,American International Pictures,"Daryl Wein, Zoe Lister-Jones (director/screenplay); Zoe Lister-Jones, Cailee Spaeny, Olivia Wilde, Fred Armisen, Helen Hunt, Lamorne Morris, Nick Kroll",,[123]
J U L Y,21.0,Trollhunters: Rise of the Titans,Netflix / DreamWorks Animation,"Johane Matte, Andrew L. Schmidt, Franciso Ruiz Velasco (directors); Guillermo del Toro, Marc Guggenheim, The Hageman Brothers (screenplay); Emile Hirsch, Lexi Medrano, Charlie Saxton, Kelsey Grammer, Fred Tatasciore, Colin O'Donoghue, Diego Luna, Tatiana Maslany, Steven Yeun, Cole Sand, Alfred Molina, Nick Frost, Nick Offerman",,[124]
J U L Y,23.0,Snake Eyes,Paramount Pictures / Metro-Goldwyn-Mayer / Skydance Media / Entertainment One,"Robert Schwentke (director); Evan Spiliotopoulos, Joe Shrapnel, Anna Waterhouse (screenplay); Henry Golding, Andrew Koji, Úrsula Corberó, Samara Weaving, Iko Uwais, Haruka Abe, Takehiro Hira, Peter Mensah",,[125]
